4334	中烫罩杯开骨	0.30	100			中烫
4339	烫前幅撞布	0.20	100			中烫
4347	烫领贴止口	0.15	100			中烫
4348	烫前幅弧形止口*2	0.14	100			中烫
4393	烫门边、龟背止口*2	0.36	100			中烫
4409	烫前幅捆条*5	0.40	100			中烫
4414	烫肩带朴*2	0.16	100			中烫
4462	烫侧缝撞布朴*4	0.40	100			中烫
4463	烫门边、龟背朴*3	0.30	100			中烫
4487	烫龟背	0.10	100			中烫
4521	烫左侧撞布止口	0.08	100			中烫
4523	烫撞布止口*4	0.32	100			中烫
4536	烫帽咀朴*2	0.16	100			中烫
4537	整烫帽咀	0.10	100			中烫
4567	烫下脚朴*4	0.30	100			中烫
4572	烫前贴朴*2	0.14	100			中烫
4573	整烫肩带	0.20	100			中烫
4586	烫门筒朴	0.20	100			中烫
4587	烫门筒止口	0.30	100			中烫
4588	烫耳袢朴*4	0.20	100			中烫
4590	烫鼠袋唇止口*2	0.26	100			中烫
4591	烫袖口撞布*4	0.30	100			中烫
4702	烫脚口朴*2	0.14	100			中烫
4709	烫抽绳止口*2	0.30	100			中烫
4736	整烫袋盖*4	0.30	100			中烫
4755	烫扣眼位朴	0.30	100			中烫
4907	烫袖绑带止口*2	0.30	100			中烫
4941	整烫绑带止口*2	0.30	100			中烫
4945	领带开骨	0.15	100			中烫
5044	烫前后领撞布止口*3	0.20	100			中烫
5188	整烫背带*2	0.60	100			中烫
5293	烫后领朴*4后领止口*2	0.40	100			中烫
5300	烫肩唇朴*4	0.20	100			中烫
5301	烫肩唇止口*4	0.30	100			中烫
5305	整烫鼠袋	0.10	100			中烫
5336	烫肩朴*2	0.16	100			中烫
5346	烫下脚贴止口*3	0.30	100			中烫
5418	烫袋盖朴*8	0.48	100			中烫
5455	整烫绑带*4	0.50	100			中烫
5518	烫前后幅镂空位捆条*20	1.20	100			中烫
5525	整烫披肩	0.20	100			中烫
5538	烫飘带	0.50	100			中烫
5592	烫肩贴止口*2	0.20	100			中烫
5652	整烫皱褶	0.60	100			中烫
5724	整烫门边至领下脚一圈	0.30	100			中烫
5725	压朴	0.20	100			中烫
