AL204	2	1			1555205
AL204	2	0	面料	主布面料-JC16s蜡染棉平纹布 B1100# 240G 洗前 100%棉 主布色号-32# 叶绿	1555206
AL204	2	0	洗水效果	炒雪花 洗涤效果2	1555207
AL204	2	0	后幅口袋	高17cm 宽12.5cm 连接处需要做加固防止崩裂 两端需要做好加固	1555208
AL204	2	0	主唛	无	1555209
AL204	2	0	洗水唛	4*8cm 色丁材质 切片 白底黑字	1555210
AL204	2	0	吊牌	无	1555211
AL204	2	0	　	　	1555212
AL204	3	1			1555213
AL204	3	0	包装袋	无	1555214
AL204	4	1			1555215
AL205	1	1			1555677
AL205	1	0	左袖绣花	Logo尺寸：宽6cm高随比例调节  Logo定位：袖口缝线上2.5cm 单针绣花白色  参考附图	1555678
AL205	2	1			1555679
AL205	2	0	面料	主布面料-新鹏宇针织 华夫格 E126# 28Gsm 97%棉3%氨纶 No.12 杏	1555680
AL205	2	0	纽扣	“纽扣定制：配 4 颗 18L（≈11mm 直径）的天然象牙白（米白）纽扣，按中心间距 40mm 分布；第 1 颗位于领罗纹（领口缝线中部），最后 1 颗在门襟末端上方 40mm 处；对应做 15mm 竖向扣眼（扣眼在穿着者左侧、纽扣在右侧），门襟总长度 145mm（不含领罗纹缝高）、成品宽 30mm（每侧 15mm），并在门襟底部做打枣加固。”	1555681
AL205	2	0	领口罗纹	需要同主布配色罗纹	1555682
AL205	2	0	主唛	无	1555683
AL205	2	0	洗水唛	无	1555684
AL205	2	0	吊牌	无	1555685
AL205	3	1			1555686
AL205	3	0	包装袋	无	1555687
AL205	4	1			1555688
AL206	1	1			1566845
AL206	1	0	前幅3D绣花	Logo尺寸：宽11cm高随比例调节  Logo定位：肩高点下11cm	1566846
AL206	1	0	前幅3D绣花	Logo尺寸：宽20cm高随比例调节 Logo定位：居中领下12cm	1566847
AL206	2	1			1566848
AL206	2	0	面料	德盛针织-9403# 10S真卫衣划毛 340Gsm 50%棉50%涤纶 色号-No.2 杏色	1566849
AL206	2	0	吊绳	需要白色塑料头吊绳	1566850
AL206	2	0	罗纹	需要配色罗纹	1566851
AL206	2	0	主唛	无	1566852
AL206	2	0	洗水唛	无	1566853
AL206	2	0	吊牌	无	1566854
AL206	2	0	　	　	1566855
AL206	3	1			1566856
AL206	3	0	包装袋	无	1566857
AL206	4	1			1566858
AL207	1	1			1566872
AL207	1	0	批布印花	白色底布批布印花	1566873
AL207	1	0	酵洗	需要酵洗把面料洗软	1566874
AL207	2	1			1566875
AL207	2	0	面料	嘉亿布行-M1348A#莫棉柔云 160Gsm 47%莫代尔 44%纯棉 9%氨纶 色号No.4-白色	1566876
AL207	2	0	纽扣	蓝色双孔纽扣 同印花配色 淡蓝	1566877
AL207	2	0	主唛	无	1566878
AL207	2	0	洗水唛	无	1566879
AL207	2	0	吊牌	无	1566880
AL207	3	1			1566881
AL207	3	0	包装袋	无	1566882
AL207	3	0	　	　	1566883
AL207	4	1			1566884
AL208	1	1			1566461
AL208	1	0	批布印花	白色底布批布印花	1566462
AL208	1	0	酵洗	需要酵洗把面料洗软	1566463
AL208	2	1			1566464
AL208	2	0	面料	嘉亿布行-M1348A#莫棉柔云 160Gsm 47%莫代尔 44%纯棉 9%氨纶 色号No.4-白色	1566465
AL208	2	0	吊绳	需要白色吊绳	1566466
AL208	2	0	主唛	无	1566467
