12211	DH925S	主面料	新鹏宇	新鹏宇针织	43#灰色	172	0.8	15	16.50	26.00	
12211	DH925S	辅料	添彩纽扣	扣子2.5CM	染主布颜色		4	3	0.15	0.15	
12211	DH925S	辅料	前卫衬朴	针织朴	白色	120	0.25	10	1.80	1.80	
12211	DH925S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
12275	DH927K	主面料	新鹏宇	新鹏宇针织	43#灰色	140	1.28	15	13.00	25.00	
12275	DH927K	辅料	前卫衬朴	30D雪纺朴	白色	120	0.25	10	2.20	2.20	
12275	DH927K	辅料	东莞市虎门永恒拉链厂	3号隐形拉链	配主布颜色		1	3	1.50	1.50	
12275	DH927K	面料	新鹏宇	新鹏宇针织	6#活性黑色	170	1.28	15	26.00	26.00	
12275	DH927K	面料	盛丰纺织	盛丰布业	75#杏色		1.5	10	13.00	13.00	
12275	DH927K	面料		盛丰布业	75#杏色	120	2.32	15	12.60	12.60	
12844	DH943S	主面料		成品服装7	黑色		1	1	19.00	19.00	
12866	DH944S	主面料		成品服装7	白色		1	1	40.00	15.00	
13069	DH949	主面料	华胜蜡布	蜡布	颜色1	110	3.05	15	0.00	0.00	
13069	DH949	辅料	华顺橡筋	丈根3/8宽	黑色		0.55	15	0.30	0.30	
13069	DH949	辅料	前卫衬朴	针织朴	黑色	120	0.2	10	1.80	1.80	
13069	DH949	辅料	华顺橡筋	丈根1/4	黑色		0.55	15	0.30	0.30	
13512	DH967K	主面料	伟盛纺织	伟盛纺织	4#白色	143	1.5	15	16.50	16.50	
13512	DH967K	辅料	华顺橡筋	丈根1 5/8宽	白色		1	15	0.60	0.60	
13512	DH967K	辅料	华顺橡筋	圆丈巾1/8宽	配主布颜色		1.1	10	0.35	0.35	
13512	DH967K	辅料	利泰辅料	猪鼻扣	银色		1	3	0.80	0.80	
13548	DH968S	主面料	伟盛纺织	伟盛纺织	15#浅灰色	148	1.52	15	18.00	18.00	
13548	DH968S	辅料	添彩纽扣	扣子	1.2CM染灰色		10	5	0.12	0.12	
13548	DH968S	辅料	前卫衬朴	30D雪纺朴	白色	120	0.35	10	2.20	2.20	
13605	DH978	主面料	华胜蜡布	蜡布	颜色1	110	1.3	15	13.00	13.00	
13605	DH978	辅料	前卫衬朴	针织朴	黑色	120	0.2	10	1.80	1.80	
13605	DH978	辅料	东莞市虎门永恒拉链厂	3号隐形拉链	黑色		1	3	1.50	1.50	
13605	DH978	辅料	华顺橡筋	丈根3/8宽	黑色		0.7	15	0.35	0.35	
13640	DH979S	主面料	联发纺织	联新纺织	2#红色格子	145	1.4	15	16.50	16.50	
13640	DH979S	面料	濠泰纺织	濠泰纺织	1#白色	145	1.4	15	16.50	16.50	
13640	DH979S	面料	濠泰纺织	濠泰纺织	1#白色	145	1.4	15	16.50	16.50	
13640	DH979S	辅料	添彩纽扣	扣子	配主布颜色		11	3	0.12	0.12	
13640	DH979S	辅料	前卫衬朴	30D雪纺朴	黑色/白色	120	0.35	10	1.80	1.80	
13692	DH983S	主面料	德盛针织	德盛针织	白色	166	0.9	15	0.00	0.00	
13695	DH984S	主面料	德盛针织	德盛针织	白色		0.9	15	0.00	0.00	
13722	DH986D	主面料	华胜蜡布	蜡布	颜色1	110	2.8	15	13.00	13.00	
13722	DH986D	辅料	添彩纽扣	扣子	1.5CM黑色		14	3	0.10	0.10	
13722	DH986D	辅料	前卫衬朴	针织朴	黑色	120	0.3	10	1.80	1.80	
13723	DH987S	主面料	聚能蜡布	蜡布	颜色1	110	2.02	15	13.00	13.00	
13723	DH987S	面料	新登封蜡布	蜡布印花	紫色	112	0.7	12	13.00	13.00	
13723	DH987S	辅料	前卫衬朴	针织朴	黑色	120	0.45	10	1.80	1.80	
13723	DH987S	辅料	添彩纽扣	扣子	1.5CM黑色		13	3	0.12	0.12	
13724	DH988K	主面料	华成里布行	蜡布	颜色1	110	2.04	15	13.00	13.00	
13724	DH988K	辅料	前卫衬朴	针织朴	黑色	120	0.3	10	1.80	1.80	
13724	DH988K	辅料	东莞市虎门永恒拉链厂	裤子拉链	黑色		1	3	0.40	0.40	
13724	DH988K	辅料	利泰辅料	西裤扣	银色（大的一对）		1	3	0.35	0.35	
13724	DH988K	辅料	华顺橡筋	丈根1 3/4宽	黑色		0.4	15	0.60	0.60	
13732	DH990S	主面料	伟盛纺织	伟盛纺织	15#浅灰色	148	1.85	15	14.00	14.00	
13732	DH990S	辅料	添彩纽扣	扣子	1.2CM染灰色		10	5	0.12	0.12	
13732	DH990S	辅料	前卫衬朴	30D雪纺朴	白色	120	0.35	10	2.20	2.20	
13739	DH991S	主面料	新鹏宇	新鹏宇针织	54#黑色	174	1	15	21.00	21.00	
13739	DH991S	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13739	DH991S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13765	DH993S	主面料		成品服装7	黑色		1	1	60.00	60.00	
13765	DH993S	面料		成品服装8	花灰		1	1	60.00	60.00	
13765	DH993S	面料		成品服装4	绿色		1	1	60.00	60.00	
13810	DH996S	主面料	德盛针织	德盛针织	35#活性黑色	180	0.8	15	21.50	18.00	
13810	DH996S	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	130	0.025	15	40.00	40.00	
13810	DH996S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13809	DH997S	主面料	德盛针织	德盛针织	35#活性黑色	180	0.8	15	18.00	18.00	
13809	DH997S	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	130	0.025	15	40.00	40.00	
13809	DH997S	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
